map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType11;25;30;3.in;RA;138;499;0;success;15;451272;30045;1.002004008
../instances/IntersectionType11;25;30;4.in;RA;137;398;5;success;9;317786;30048;1.208542714
../instances/IntersectionType12;10;30;0.in;RA;104;160;7;success;2;95474;30035;1.1125
../instances/IntersectionType12;10;30;1.in;RA;104;197;7;success;3;122760;30043;1.137055838
../instances/IntersectionType12;10;30;2.in;RA;101;158;14;success;0;69477;20190;1.183544304
../instances/IntersectionType12;10;30;3.in;RA;103;187;3;success;3;98099;30036;1
../instances/IntersectionType12;10;30;4.in;RA;105;185;6;success;3;141147;30036;1.227027027
../instances/IntersectionType12;12;30;0.in;RA;125;217;3;success;6;196021;30051;1.248847926
../instances/IntersectionType12;12;30;1.in;RA;125;192;7;success;2;121418;30036;1.171875
../instances/IntersectionType12;12;30;2.in;RA;123;191;6;success;4;151165;30029;1.235602094
../instances/IntersectionType12;12;30;3.in;RA;124;278;2;success;6;183523;30044;1.04676259
../instances/IntersectionType12;12;30;4.in;RA;122;173;7;success;0;31161;8320;1.052023121
../instances/IntersectionType12;15;30;0.in;RA;157;248;8;success;4;161560;30028;1.217741935
../instances/IntersectionType12;15;30;1.in;RA;152;270;3;success;4;165649;30037;1
../instances/IntersectionType12;15;30;2.in;RA;156;326;0;success;7;216922;30035;1
../instances/IntersectionType12;15;30;3.in;RA;153;334;0;success;11;330605;30036;1
../instances/IntersectionType12;15;30;4.in;RA;157;439;2;success;9;274944;30046;0.89977221
../instances/IntersectionType12;17;30;0.in;RA;179;488;3;success;9;275972;30047;1.038934426
../instances/IntersectionType12;17;30;1.in;RA;173;393;6;success;10;329699;30036;1.254452926
../instances/IntersectionType12;17;30;2.in;RA;176;388;3;success;10;322278;30042;1.211340206
../instances/IntersectionType12;17;30;3.in;RA;176;483;3;success;4;134988;30034;0.98136646
../instances/IntersectionType12;17;30;4.in;RA;176;389;4;success;9;288163;30036;1.115681234
../instances/IntersectionType12;20;30;0.in;RA;208;443;5;success;10;345795;30037;1.207674944
../instances/IntersectionType12;20;30;1.in;RA;205;642;4;success;7;224759;30046;0.940809969
../instances/IntersectionType12;20;30;2.in;RA;207;543;2;success;12;368302;30037;1.178637201
../instances/IntersectionType12;20;30;3.in;RA;208;619;3;success;12;383266;30043;1.113085622
../instances/IntersectionType12;20;30;4.in;RA;211;657;0;success;13;391921;30042;1
../instances/IntersectionType12;22;30;0.in;RA;229;814;4;success;14;427855;30049;1.001228501
../instances/IntersectionType12;22;30;1.in;RA;224;631;2;success;13;403380;30038;1.001584786
../instances/IntersectionType12;22;30;2.in;RA;226;539;6;success;12;374349;30038;1.044526902
../instances/IntersectionType12;22;30;3.in;RA;228;612;2;success;9;311278;30039;1.16503268
../instances/IntersectionType12;22;30;4.in;RA;237;792;6;success;14;450050;30039;1.13510101
../instances/IntersectionType12;25;30;0.in;RA;259;857;3;success;15;472009;30041;1.109684947
../instances/IntersectionType12;25;30;1.in;RA;257;1072;2;success;14;422626;30044;0.983208955
../instances/IntersectionType12;25;30;2.in;RA;258;1004;2;success;11;332744;30047;1.108565737
../instances/IntersectionType12;25;30;3.in;RA;263;810;2;success;14;435390;30046;1.164197531
../instances/IntersectionType12;25;30;4.in;RA;262;824;0;success;13;391957;30040;1
../instances/IntersectionType13;10;30;0.in;RA;100;131;5;success;0;22388;8090;1
../instances/IntersectionType13;10;30;1.in;RA;102;128;3;success;0;8570;4406;1.125
../instances/IntersectionType13;10;30;2.in;RA;101;129;2;success;0;10014;4779;1.031007752
../instances/IntersectionType13;10;30;3.in;RA;103;132;3;success;0;8757;4657;1.234848485
../instances/IntersectionType13;10;30;4.in;RA;99;132;11;success;0;14951;4258;1.083333333
../instances/IntersectionType13;12;30;0.in;RA;119;152;2;success;0;13007;4135;1.052631579
../instances/IntersectionType13;12;30;1.in;RA;121;154;6;success;0;16016;4288;1.071428571
../instances/IntersectionType13;12;30;2.in;RA;119;165;4;success;2;80124;30036;0.963636364
../instances/IntersectionType13;12;30;3.in;RA;122;157;3;success;0;28507;10130;1.171974522
../instances/IntersectionType13;12;30;4.in;RA;122;151;0;success;0;7812;1751;1
../instances/IntersectionType13;15;30;0.in;RA;149;195;8;success;0;41176;10045;1.097435897
../instances/IntersectionType13;15;30;1.in;RA;150;203;9;success;1;54788;30024;1.068965517
../instances/IntersectionType13;15;30;2.in;RA;152;197;9;success;1;51862;30018;1.07106599
../instances/IntersectionType13;15;30;3.in;RA;149;196;6;success;2;87436;30033;1.234693878
../instances/IntersectionType13;15;30;4.in;RA;151;190;8;success;0;33348;7664;1.168421053
../instances/IntersectionType13;17;30;0.in;RA;173;229;9;success;0;73134;19646;1.148471616
../instances/IntersectionType13;17;30;1.in;RA;173;253;9;success;2;114728;30037;1.015810277
../instances/IntersectionType13;17;30;2.in;RA;172;221;4;success;0;22888;7108;1.095022624
../instances/IntersectionType13;17;30;3.in;RA;173;226;11;success;2;118050;30031;1.234513274
../instances/IntersectionType13;17;30;4.in;RA;172;235;12;success;1;78517;30022;1.05106383
../instances/IntersectionType13;20;30;0.in;RA;204;260;9;success;0;119184;28527;1.15
../instances/IntersectionType13;20;30;1.in;RA;206;271;12;success;1;106071;30018;1.029520295
../instances/IntersectionType13;20;30;2.in;RA;202;269;10;success;4;222770;30036;1.249070632
../instances/IntersectionType13;20;30;3.in;RA;200;260;17;success;0;107024;24045;1.161538462
../instances/IntersectionType13;20;30;4.in;RA;207;274;22;success;3;232341;30023;1.208029197
../instances/IntersectionType13;22;30;0.in;RA;224;315;8;success;7;267659;30032;1.13015873
../instances/IntersectionType13;22;30;1.in;RA;228;297;11;success;9;344585;30040;1.164983165
../instances/IntersectionType13;22;30;2.in;RA;222;311;8;success;6;247352;30033;1.266881029
../instances/IntersectionType13;22;30;3.in;RA;220;325;8;success;7;234202;30027;1.033846154
../instances/IntersectionType13;22;30;4.in;RA;223;297;13;success;3;177166;30036;1.249158249
../instances/IntersectionType13;25;30;0.in;RA;255;411;4;success;9;311324;30031;1.253041363
../instances/IntersectionType13;25;30;1.in;RA;251;344;13;success;5;214953;30036;1.238372093
../instances/IntersectionType13;25;30;2.in;RA;253;328;13;success;1;151753;30033;1.070121951
../instances/IntersectionType13;25;30;3.in;RA;260;350;20;success;3;187225;30027;1.305714286
../instances/IntersectionType13;25;30;4.in;RA;243;360;13;success;6;228774;30035;1.038888889
../instances/IntersectionType10;10;30;0.in;RSG;54;90;0;success;0;2024;643;1
../instances/IntersectionType10;10;30;1.in;RSG;54;118;0;success;0;3074;1283;0.991525424
../instances/IntersectionType10;10;30;2.in;RSG;51;100;0;success;0;3262;840;1
../instances/IntersectionType10;10;30;3.in;RSG;53;98;0;success;0;5980;3777;1
../instances/IntersectionType10;10;30;4.in;RSG;55;112;0;success;0;3403;683;1
../instances/IntersectionType10;12;30;0.in;RSG;65;148;0;success;0;5450;1091;0.97972973
../instances/IntersectionType10;12;30;1.in;RSG;65;112;0;success;0;5367;1539;0.973214286
../instances/IntersectionType10;12;30;2.in;RSG;63;147;0;success;0;7430;2004;1
../instances/IntersectionType10;12;30;3.in;RSG;64;142;0;success;0;6214;1686;1.197183099
../instances/IntersectionType10;12;30;4.in;RSG;62;93;0;success;0;2748;674;1
../instances/IntersectionType10;15;30;0.in;RSG;82;196;0;success;0;10190;2610;1
../instances/IntersectionType10;15;30;1.in;RSG;77;152;0;success;0;6873;1708;1
../instances/IntersectionType10;15;30;2.in;RSG;81;151;0;success;0;5564;1288;1.304635762
../instances/IntersectionType10;15;30;3.in;RSG;78;171;0;success;0;7590;1290;1
../instances/IntersectionType10;15;30;4.in;RSG;82;234;0;success;0;13836;2030;1.042735043
../instances/IntersectionType10;17;30;0.in;RSG;94;243;0;success;0;13822;5081;1.016460905
../instances/IntersectionType10;17;30;1.in;RSG;88;266;0;success;0;16480;2345;1
../instances/IntersectionType10;17;30;2.in;RSG;91;284;0;success;0;21387;3117;1
../instances/IntersectionType10;17;30;3.in;RSG;91;268;0;success;1;41235;30031;1.048507463
../instances/IntersectionType10;17;30;4.in;RSG;91;261;0;success;0;17343;3459;1.084291188
../instances/IntersectionType10;20;30;0.in;RSG;108;260;0;success;0;16366;4999;1.05
../instances/IntersectionType10;20;30;1.in;RSG;105;262;0;success;0;28943;8934;1.198473282
../instances/IntersectionType10;20;30;2.in;RSG;107;382;0;success;0;45990;7880;0.866492147
../instances/IntersectionType10;20;30;3.in;RSG;108;379;0;success;0;45284;9664;1.131926121
../instances/IntersectionType10;20;30;4.in;RSG;111;359;0;success;0;32485;8186;0.924791086
../instances/IntersectionType10;22;30;0.in;RSG;119;388;0;success;0;57157;13258;1.043814433
../instances/IntersectionType10;22;30;1.in;RSG;114;389;0;success;0;44342;7963;1.017994859
../instances/IntersectionType10;22;30;2.in;RSG;116;332;0;success;0;42959;15587;1.075301205
../instances/IntersectionType10;22;30;3.in;RSG;118;414;0;success;0;60253;13678;1
../instances/IntersectionType10;22;30;4.in;RSG;127;415;0;success;0;63455;9541;1.231325301
